name,model,tree_length
ENSG00000116977_AA,LG+F+G,1.444
ENSG00000132386_AA,WAG+F,1.155
ENSG00000136699_AA,Poisson+F,0.922
ENSG00000155846_AA,JTT+F,1.314
ENSG00000037965_AA,LG+F+G,0.184
ENSG00000184507_AA,JTT+F+G,2.853
ENSG00000175267_AA,Poisson+F,1.763
ENSG00000241978_AA,JTT+F,0.899
ENSG00000164253_AA,WAG+F+G,0.922
ENSG00000058866_AA,FLU+F+G,0.668
ENSG00000047249_AA,LG+F+G,0.106
ENSG00000113594_AA,Poisson+F,1.334
ENSG00000151164_AA,FLU+F+G,1.948
ENSG00000066044_AA,FLU+F,0.205
ENSG00000133639_AA,LG+F+G,0.368
ENSG00000261657_AA,Poisson+F,0.817
ENSG00000123124_AA,FLU+F,0.635
ENSG00000154832_AA,WAG+F+G,0.600
ENSG00000173614_AA,WAG+F+G,1.804
ENSG00000124762_AA,FLU+F+G,2.042
ENSG00000113361_AA,Poisson+F+G,0.291
ENSG00000166948_AA,LG+F,1.146
ENSG00000110074_AA,Poisson+F+G,1.456
ENSG00000132589_AA,Poisson+F+G,0.224
ENSG00000167550_AA,FLU+F,0.530
ENSG00000173452_AA,FLU+F,0.084
ENSG00000151012_AA,FLU+F,0.547
ENSG00000166924_AA,JTT+F+G,0.537
ENSG00000140545_AA,FLU+F+G,2.214
ENSG00000170037_AA,WAG+F,1.211
ENSG00000116459_AA,FLU+F,1.081
ENSG00000260170_AA,JTT+F+G,0.889
ENSG00000157782_AA,FLU+F,0.110
ENSG00000103319_AA,Poisson+F+G,0.813
ENSG00000062582_AA,JTT+F+G,1.312
ENSG00000152348_AA,Poisson+F+G,1.447
ENSG00000133110_AA,LG+F+G,0.542
ENSG00000158669_AA,FLU+F,0.217
ENSG00000135519_AA,FLU+F,0.398
ENSG00000119946_AA,FLU+F,0.379
ENSG00000121931_AA,LG+F+G,1.772
ENSG00000014123_AA,Poisson+F+G,0.649
ENSG00000183726_AA,FLU+F+G,0.402
ENSG00000168036_AA,FLU+F+G,0.010
ENSG00000106511_AA,LG+F,0.127
ENSG00000135316_AA,JTT+F,0.023
ENSG00000116539_AA,Poisson+F,0.477
ENSG00000132031_AA,Poisson+F+G,1.158
ENSG00000121380_AA,LG+F,2.111
ENSG00000153956_AA,LG+F,0.208
ENSG00000120899_AA,WAG+F+G,0.424
ENSG00000156345_AA,JTT+F+G,0.451
ENSG00000165660_AA,JTT+F,0.559
ENSG00000183733_AA,FLU+F+G,2.173
ENSG00000108510_AA,JTT+F,0.310
ENSG00000121390_AA,WAG+F+G,0.240
ENSG00000170370_AA,LG+F+G,0.103
ENSG00000058272_AA,WAG+F,0.280
ENSG00000174697_AA,FLU+F,1.786
ENSG00000145431_AA,JTT+F+G,0.585
ENSG00000230685_AA,WAG+F,0.313
ENSG00000149091_AA,FLU+F,0.457
ENSG00000119913_AA,FLU+F,0.317
ENSG00000130222_AA,JTT+F+G,0.337
ENSG00000101751_AA,Poisson+F,1.493
ENSG00000164323_AA,Poisson+F+G,1.811
ENSG00000263461_AA,LG+F,0.217
ENSG00000135372_AA,Poisson+F+G,0.428
ENSG00000211445_AA,JTT+F+G,0.942
ENSG00000260952_AA,WAG+F+G,1.622
ENSG00000065621_AA,JTT+F,1.162
ENSG00000166106_AA,WAG+F+G,0.719
ENSG00000116704_AA,Poisson+F,0.279
ENSG00000170605_AA,LG+F+G,1.469
ENSG00000145687_AA,FLU+F+G,0.083
ENSG00000125170_AA,Poisson+F+G,0.357
ENSG00000049167_AA,Poisson+F+G,0.613
ENSG00000115170_AA,Poisson+F,0.084
ENSG00000145692_AA,FLU+F+G,0.477
ENSG00000177202_AA,FLU+F+G,2.720
ENSG00000021355_AA,LG+F,1.906
ENSG00000174567_AA,LG+F,0.995
ENSG00000112053_AA,JTT+F,2.187
ENSG00000175567_AA,JTT+F,0.416
ENSG00000156427_AA,JTT+F,0.149
ENSG00000138660_AA,LG+F,0.440
ENSG00000110900_AA,WAG+F+G,1.238
ENSG00000131771_AA,LG+F+G,0.978
ENSG00000260703_AA,FLU+F,0.801
ENSG00000106351_AA,WAG+F,1.045
ENSG00000198758_AA,WAG+F+G,2.248
ENSG00000145832_AA,Poisson+F,0.947
ENSG00000147475_AA,Poisson+F+G,0.459
ENSG00000087245_AA,LG+F,0.487
ENSG00000038945_AA,LG+F,2.173
ENSG00000258555_AA,WAG+F+G,0.508
ENSG00000107651_AA,WAG+F,0.756
ENSG00000248710_AA,LG+F,0.516
ENSG00000164576_AA,FLU+F+G,0.327
ENSG00000165731_AA,JTT+F+G,0.948
ENSG00000148334_AA,JTT+F,0.837
ENSG00000185053_AA,FLU+F,0.323
ENSG00000180096_AA,FLU+F+G,0.445
ENSG00000110700_AA,Poisson+F,0.040
ENSG00000163681_AA,JTT+F,0.227
ENSG00000065923_AA,WAG+F+G,0.283
ENSG00000110887_AA,JTT+F+G,1.460
ENSG00000167065_AA,JTT+F+G,1.492
ENSG00000131238_AA,FLU+F+G,1.068
ENSG00000126746_AA,LG+F,0.078
ENSG00000114125_AA,LG+F+G,0.389
ENSG00000087086_AA,JTT+F+G,1.337
ENSG00000135845_AA,JTT+F+G,0.552
ENSG00000100433_AA,LG+F+G,0.427
ENSG00000119632_AA,WAG+F+G,3.424
ENSG00000163820_AA,WAG+F,1.561
ENSG00000115317_AA,FLU+F,0.733
ENSG00000102172_AA,LG+F,0.359
ENSG00000183018_AA,FLU+F,0.483
ENSG00000162104_AA,FLU+F+G,0.643
ENSG00000133216_AA,LG+F,0.155
ENSG00000164588_AA,JTT+F+G,0.306
ENSG00000149633_AA,Poisson+F,2.044
ENSG00000162068_AA,WAG+F+G,0.759
ENSG00000141294_AA,JTT+F,1.880
ENSG00000188706_AA,WAG+F,0.139
ENSG00000100345_AA,FLU+F+G,0.246
ENSG00000100350_AA,FLU+F+G,1.444
ENSG00000169760_AA,LG+F+G,0.089
ENSG00000126216_AA,LG+F,0.540
ENSG00000244752_AA,WAG+F,0.197
ENSG00000135048_AA,LG+F+G,0.878
ENSG00000175556_AA,FLU+F+G,1.501
ENSG00000163481_AA,WAG+F,1.123
ENSG00000184432_AA,LG+F+G,0.136
ENSG00000122420_AA,WAG+F+G,0.764
ENSG00000038274_AA,JTT+F+G,0.394
ENSG00000167699_AA,Poisson+F,1.085
ENSG00000071889_AA,WAG+F+G,0.663
ENSG00000263170_AA,LG+F+G,0.563
ENSG00000051108_AA,FLU+F+G,0.879
ENSG00000158966_AA,WAG+F+G,0.210
ENSG00000263020_AA,LG+F+G,0.423
ENSG00000163875_AA,WAG+F,0.093
ENSG00000122435_AA,WAG+F+G,0.834
ENSG00000115295_AA,LG+F,0.773
ENSG00000143653_AA,LG+F+G,1.164
ENSG00000123600_AA,FLU+F,1.383
ENSG00000153922_AA,JTT+F+G,0.251
ENSG00000108829_AA,LG+F,0.423
ENSG00000155761_AA,Poisson+F+G,1.967
ENSG00000109684_AA,Poisson+F,2.569
ENSG00000150722_AA,JTT+F+G,0.873
ENSG00000196811_AA,FLU+F,0.710
ENSG00000172086_AA,JTT+F,2.019
ENSG00000136279_AA,Poisson+F,0.919
ENSG00000185238_AA,WAG+F+G,0.705
ENSG00000171953_AA,Poisson+F,0.813
ENSG00000115946_AA,JTT+F,0.555
ENSG00000119392_AA,LG+F+G,1.267
ENSG00000133731_AA,FLU+F+G,1.514
ENSG00000164647_AA,WAG+F+G,1.087
ENSG00000187821_AA,Poisson+F,0.767
ENSG00000236649_AA,LG+F,0.420
ENSG00000214681_AA,FLU+F,1.985
ENSG00000169575_AA,Poisson+F,3.120
ENSG00000173389_AA,FLU+F,1.806
ENSG00000110048_AA,WAG+F,0.301
ENSG00000144791_AA,WAG+F,1.300
ENSG00000092051_AA,JTT+F,0.323
ENSG00000146122_AA,FLU+F+G,0.451
ENSG00000181929_AA,JTT+F+G,0.280
ENSG00000125124_AA,JTT+F+G,0.707
ENSG00000077684_AA,JTT+F+G,0.572
ENSG00000144591_AA,JTT+F,0.293
ENSG00000109771_AA,JTT+F+G,1.085
ENSG00000108523_AA,FLU+F+G,1.026
ENSG00000101811_AA,JTT+F,0.377
ENSG00000165120_AA,Poisson+F+G,2.175
ENSG00000179958_AA,JTT+F+G,1.492
ENSG00000011376_AA,Poisson+F+G,1.205
ENSG00000111863_AA,JTT+F+G,2.182
ENSG00000150867_AA,JTT+F,0.116
ENSG00000136044_AA,Poisson+F,0.640
ENSG00000125813_AA,LG+F,0.704
ENSG00000139343_AA,FLU+F,1.236
ENSG00000100146_AA,LG+F+G,0.164
ENSG00000189058_AA,LG+F,1.387
ENSG00000120129_AA,WAG+F+G,0.552
ENSG00000112837_AA,LG+F+G,0.515
ENSG00000073792_AA,WAG+F,0.318
ENSG00000170681_AA,FLU+F+G,1.511
ENSG00000130813_AA,LG+F,0.471
ENSG00000086062_AA,JTT+F+G,1.322
ENSG00000170191_AA,LG+F+G,0.959
ENSG00000196420_AA,FLU+F+G,0.750
ENSG00000139719_AA,WAG+F,0.168
ENSG00000163071_AA,FLU+F,1.325
ENSG00000116205_AA,Poisson+F,1.005
ENSG00000157005_AA,JTT+F,0.174
ENSG00000149743_AA,JTT+F,1.215
ENSG00000198865_AA,Poisson+F+G,1.499
ENSG00000103248_AA,WAG+F+G,1.646
ENSG00000108219_AA,JTT+F+G,0.240
ENSG00000109132_AA,WAG+F+G,0.262
ENSG00000174145_AA,JTT+F,0.343
ENSG00000121454_AA,WAG+F+G,0.150
ENSG00000147416_AA,Poisson+F+G,0.141
ENSG00000149403_AA,FLU+F+G,0.172
ENSG00000008283_AA,FLU+F,0.932
ENSG00000248672_AA,LG+F,1.511
ENSG00000115524_AA,JTT+F+G,0.007
ENSG00000086758_AA,FLU+F+G,0.179
ENSG00000173113_AA,LG+F+G,1.417
ENSG00000146809_AA,WAG+F,0.666
ENSG00000106245_AA,JTT+F+G,0.111
ENSG00000108839_AA,JTT+F,1.157
ENSG00000132259_AA,FLU+F+G,0.759
ENSG00000123739_AA,Poisson+F+G,0.935
ENSG00000164011_AA,JTT+F+G,1.254
ENSG00000125166_AA,JTT+F,0.676
ENSG00000138136_AA,FLU+F+G,0.212
ENSG00000075651_AA,WAG+F,0.627
ENSG00000070950_AA,FLU+F,1.407
ENSG00000116584_AA,FLU+F,0.511
ENSG00000082512_AA,WAG+F+G,0.905
ENSG00000147526_AA,WAG+F+G,1.743
ENSG00000185722_AA,Poisson+F+G,0.472
ENSG00000120868_AA,WAG+F,0.768
ENSG00000174405_AA,LG+F,1.010
ENSG00000173456_AA,JTT+F+G,0.970
ENSG00000161405_AA,LG+F,0.571
ENSG00000153294_AA,LG+F,1.830
ENSG00000198353_AA,JTT+F+G,0.227
ENSG00000125772_AA,WAG+F+G,0.440
ENSG00000088992_AA,LG+F,0.512
ENSG00000111704_AA,Poisson+F+G,2.842
ENSG00000086065_AA,LG+F,0.071
ENSG00000147533_AA,WAG+F+G,0.253
ENSG00000136824_AA,JTT+F+G,0.520
ENSG00000138092_AA,Poisson+F,1.961
ENSG00000111602_AA,JTT+F+G,1.055
ENSG00000107731_AA,LG+F,0.542
ENSG00000178568_AA,LG+F+G,0.187
ENSG00000244687_AA,JTT+F+G,0.888
ENSG00000101638_AA,FLU+F+G,0.530
ENSG00000109132_AA,JTT+F,0.194
ENSG00000134463_AA,FLU+F+G,1.667
ENSG00000163479_AA,FLU+F+G,0.573
ENSG00000135624_AA,JTT+F+G,0.236
ENSG00000152700_AA,JTT+F,0.098
ENSG00000135631_AA,JTT+F+G,0.932
ENSG00000080839_AA,JTT+F+G,0.577
ENSG00000157470_AA,JTT+F+G,0.384
ENSG00000105186_AA,LG+F,0.909
ENSG00000242372_AA,WAG+F+G,0.145
ENSG00000138380_AA,JTT+F+G,1.425
ENSG00000185920_AA,WAG+F,0.314
ENSG00000120798_AA,LG+F+G,0.476
ENSG00000146457_AA,WAG+F,0.294
ENSG00000124783_AA,WAG+F+G,0.359
ENSG00000198089_AA,WAG+F+G,2.877
ENSG00000143382_AA,Poisson+F+G,1.553
ENSG00000140022_AA,JTT+F+G,0.983
ENSG00000066185_AA,Poisson+F+G,1.402
ENSG00000103723_AA,JTT+F,0.331
ENSG00000103187_AA,JTT+F+G,0.687
ENSG00000105467_AA,WAG+F+G,1.862
ENSG00000105550_AA,Poisson+F+G,1.535
ENSG00000005302_AA,LG+F+G,0.548
ENSG00000154188_AA,JTT+F+G,0.303
ENSG00000186335_AA,FLU+F+G,1.967
ENSG00000113073_AA,Poisson+F,1.025
ENSG00000080166_AA,Poisson+F+G,1.247
ENSG00000168497_AA,Poisson+F+G,1.580
ENSG00000165264_AA,LG+F+G,1.699
ENSG00000146834_AA,LG+F,0.576
ENSG00000112159_AA,FLU+F+G,1.158
ENSG00000165118_AA,FLU+F,1.086
ENSG00000171772_AA,LG+F+G,1.874
ENSG00000185015_AA,LG+F,0.630
ENSG00000115738_AA,LG+F,0.576
ENSG00000163812_AA,LG+F,0.211
ENSG00000135709_AA,Poisson+F,0.830
ENSG00000164418_AA,FLU+F,0.022
ENSG00000115274_AA,Poisson+F,0.322
ENSG00000154144_AA,FLU+F,0.969
ENSG00000211456_AA,WAG+F,0.354
ENSG00000141294_AA,Poisson+F+G,1.995
ENSG00000133884_AA,FLU+F,0.050
ENSG00000137947_AA,WAG+F+G,0.031
ENSG00000102221_AA,Poisson+F,1.154
ENSG00000030304_AA,LG+F,0.496
ENSG00000105568_AA,WAG+F,0.021
ENSG00000175287_AA,FLU+F+G,2.873
ENSG00000132170_AA,FLU+F,0.267
ENSG00000127311_AA,Poisson+F,2.034
ENSG00000187730_AA,WAG+F,0.500
ENSG00000182831_AA,FLU+F,0.063
ENSG00000141349_AA,JTT+F,0.877
ENSG00000125971_AA,LG+F,0.162
ENSG00000138207_AA,WAG+F+G,0.786
ENSG00000137207_AA,Poisson+F+G,0.301
ENSG00000100092_AA,JTT+F,0.875
ENSG00000185633_AA,JTT+F+G,0.893
ENSG00000101966_AA,JTT+F,1.098
ENSG00000132004_AA,FLU+F+G,1.140
ENSG00000163492_AA,JTT+F+G,1.701
ENSG00000105982_AA,Poisson+F,1.621
ENSG00000164674_AA,LG+F,1.467
ENSG00000080189_AA,JTT+F+G,0.514
ENSG00000127527_AA,FLU+F,0.459
ENSG00000129596_AA,WAG+F,0.762
ENSG00000163719_AA,LG+F+G,0.448
ENSG00000101544_AA,LG+F+G,1.256
ENSG00000179981_AA,Poisson+F,0.567
ENSG00000177051_AA,FLU+F,0.456
ENSG00000151835_AA,WAG+F+G,0.500
ENSG00000100292_AA,WAG+F,1.434
ENSG00000144283_AA,WAG+F+G,0.207
ENSG00000128573_AA,LG+F,0.070
ENSG00000099899_AA,FLU+F,0.814
ENSG00000198855_AA,FLU+F+G,0.814
ENSG00000169118_AA,JTT+F,0.183
ENSG00000122873_AA,JTT+F,0.968
ENSG00000165066_AA,LG+F,0.507
ENSG00000140992_AA,JTT+F+G,0.571
ENSG00000144847_AA,JTT+F,0.508
ENSG00000070444_AA,WAG+F+G,0.391
ENSG00000168418_AA,JTT+F,1.094
ENSG00000139908_AA,Poisson+F,0.905
ENSG00000127328_AA,JTT+F,0.433
ENSG00000144619_AA,WAG+F,0.450
ENSG00000173809_AA,LG+F+G,1.414
ENSG00000145743_AA,FLU+F,0.279
ENSG00000250565_AA,JTT+F+G,1.913
ENSG00000103275_AA,LG+F+G,0.541
ENSG00000169249_AA,Poisson+F,0.815
ENSG00000059915_AA,LG+F+G,0.616
ENSG00000138107_AA,Poisson+F+G,0.000
ENSG00000113810_AA,LG+F+G,0.682
ENSG00000114735_AA,FLU+F,1.567
ENSG00000183760_AA,JTT+F,0.823
ENSG00000101337_AA,FLU+F,0.177
ENSG00000002746_AA,JTT+F+G,0.698
ENSG00000166603_AA,FLU+F,0.409
ENSG00000197183_AA,LG+F,0.348
ENSG00000198898_AA,Poisson+F,0.204
ENSG00000149131_AA,Poisson+F,2.192
ENSG00000163902_AA,WAG+F,0.620
ENSG00000110395_AA,JTT+F,0.446
ENSG00000123178_AA,JTT+F,0.374
ENSG00000158423_AA,FLU+F+G,2.797
ENSG00000100038_AA,JTT+F,0.341
ENSG00000181827_AA,Poisson+F+G,0.528
ENSG00000122970_AA,FLU+F+G,0.499
ENSG00000152620_AA,WAG+F+G,0.367
ENSG00000033170_AA,Poisson+F,0.210
ENSG00000260736_AA,LG+F+G,3.180
ENSG00000141556_AA,Poisson+F+G,1.538
ENSG00000113648_AA,Poisson+F,0.069
ENSG00000262572_AA,LG+F+G,0.505
ENSG00000254656_AA,JTT+F+G,2.169
ENSG00000111785_AA,WAG+F+G,0.189
ENSG00000129103_AA,FLU+F+G,1.652
ENSG00000122678_AA,WAG+F,2.159
ENSG00000129116_AA,FLU+F+G,1.197
ENSG00000141141_AA,WAG+F+G,0.636
ENSG00000136895_AA,Poisson+F+G,0.469
ENSG00000178110_AA,FLU+F,1.673
ENSG00000175928_AA,LG+F,0.371
ENSG00000183735_AA,JTT+F,0.385
ENSG00000189171_AA,JTT+F,1.261
ENSG00000163631_AA,FLU+F+G,2.479
ENSG00000132780_AA,JTT+F,1.152
ENSG00000082074_AA,WAG+F,1.502
ENSG00000010319_AA,WAG+F+G,1.053
ENSG00000198589_AA,WAG+F,0.653
ENSG00000102010_AA,LG+F,0.562
ENSG00000188153_AA,Poisson+F,0.567
ENSG00000169432_AA,WAG+F+G,0.616
ENSG00000078237_AA,WAG+F+G,1.650
ENSG00000127804_AA,JTT+F+G,0.844
ENSG00000144802_AA,FLU+F+G,1.142
ENSG00000163624_AA,FLU+F+G,0.371
ENSG00000022267_AA,LG+F+G,0.508
ENSG00000168899_AA,LG+F+G,1.767
ENSG00000165066_AA,JTT+F,0.505
ENSG00000142871_AA,FLU+F+G,0.726
ENSG00000125821_AA,Poisson+F,0.499
ENSG00000169291_AA,Poisson+F,0.981
ENSG00000163513_AA,Poisson+F+G,0.654
ENSG00000106355_AA,Poisson+F+G,0.023
ENSG00000135093_AA,FLU+F+G,0.705
ENSG00000164405_AA,JTT+F+G,1.367
ENSG00000142864_AA,FLU+F+G,0.165
ENSG00000160606_AA,Poisson+F+G,0.896
ENSG00000132874_AA,Poisson+F,1.083
ENSG00000249581_AA,FLU+F+G,0.752
ENSG00000148798_AA,WAG+F,0.411
ENSG00000089157_AA,JTT+F+G,0.278
ENSG00000146729_AA,FLU+F,0.690
ENSG00000198752_AA,JTT+F+G,0.658
ENSG00000133812_AA,Poisson+F+G,0.395
ENSG00000165233_AA,WAG+F,0.928
ENSG00000197705_AA,LG+F,0.140
ENSG00000120725_AA,LG+F+G,0.990
ENSG00000111203_AA,JTT+F+G,0.645
ENSG00000134245_AA,WAG+F,0.219
ENSG00000157184_AA,FLU+F,1.124
ENSG00000117305_AA,WAG+F,1.006
ENSG00000158987_AA,FLU+F+G,0.559
ENSG00000158435_AA,WAG+F,0.206
ENSG00000088305_AA,FLU+F+G,0.868
ENSG00000134363_AA,LG+F+G,0.194
ENSG00000165669_AA,FLU+F,1.211
ENSG00000100911_AA,Poisson+F,0.401
ENSG00000241973_AA,WAG+F+G,0.272
ENSG00000141404_AA,Poisson+F,0.156
ENSG00000005844_AA,LG+F+G,2.350
ENSG00000177888_AA,Poisson+F,0.424
ENSG00000149476_AA,LG+F+G,0.980
ENSG00000105879_AA,Poisson+F+G,0.184
ENSG00000240303_AA,FLU+F+G,1.496
ENSG00000154646_AA,WAG+F+G,1.727
ENSG00000137801_AA,Poisson+F,0.304
ENSG00000197430_AA,WAG+F+G,1.439
ENSG00000257770_AA,LG+F+G,1.704
ENSG00000067082_AA,LG+F,0.403
ENSG00000002746_AA,WAG+F,0.490
ENSG00000177103_AA,LG+F+G,0.190
ENSG00000262473_AA,WAG+F+G,0.979
ENSG00000130811_AA,FLU+F,0.384
ENSG00000160193_AA,FLU+F,1.728
ENSG00000124615_AA,LG+F,1.204
ENSG00000112578_AA,LG+F,0.590
ENSG00000163545_AA,LG+F+G,1.184
ENSG00000180901_AA,WAG+F,0.172
ENSG00000019505_AA,JTT+F,0.645
ENSG00000164938_AA,JTT+F,0.776
ENSG00000112655_AA,JTT+F,0.467
ENSG00000262327_AA,Poisson+F,0.625
ENSG00000140396_AA,LG+F,0.370
ENSG00000143882_AA,WAG+F,0.636
ENSG00000030582_AA,LG+F,1.990
ENSG00000108947_AA,FLU+F,0.267
ENSG00000043462_AA,WAG+F,1.002
ENSG00000143476_AA,WAG+F,0.529
ENSG00000161036_AA,WAG+F,1.221
ENSG00000260150_AA,FLU+F,0.080
ENSG00000188611_AA,WAG+F+G,1.453
