name,model,tree_length
1Q91_A,WAG+F,42.472
1B9H_A,LG+F+G,132.965
1OE8_A,LG+F+G,91.220
1DUB_A,JTT+F+G,101.388
1XA8_A,WAG+F+G,55.181
1JS4_A,FLU+F+G,161.122
1OYG_A,FLU+F+G,29.233
1K4L_A,FLU+F,62.467
2BBK_L,JTT+F,2.124
1VLB_A,LG+F,80.502
1J09_A,JTT+F,74.789
1VNC_A,Poisson+F,19.131
1PII_A,JTT+F+G,94.384
1D4A_A,FLU+F,69.970
1M21_A,WAG+F,82.516
1FF3_A,WAG+F+G,59.145
1A8S_A,Poisson+F,46.650
1HY3_A,LG+F,47.314
1AT1_A,JTT+F,63.261
1L1L_A,JTT+F+G,55.924
1MJ9_A,Poisson+F,5.012
1TDE_A,LG+F+G,47.906
1H3I_A,JTT+F+G,28.263
2F9R_A,LG+F+G,28.704
1UAE_A,FLU+F,54.638
1STD_A,FLU+F,43.484
1G6T_A,Poisson+F+G,70.479
1ODT_C,FLU+F,85.774
1L9X_A,Poisson+F,91.506
1QHF_A,WAG+F,45.456
1C2T_A,LG+F,66.078
1JKM_A,JTT+F,106.873
1F2D_A,JTT+F+G,82.490
1EXP_A,Poisson+F,38.238
1OFG_A,Poisson+F+G,84.763
1UAS_A,WAG+F+G,113.473
1QMH_A,WAG+F,100.734
1H3I_A,FLU+F,24.009
1BZY_A,Poisson+F+G,126.339
1SES_B,JTT+F+G,92.393
1D4C_A,WAG+F,86.977
1MQW_A,JTT+F+G,87.485
1FO6_A,Poisson+F+G,70.743
1A95_C,LG+F+G,120.892
1OS7_A,Poisson+F+G,71.465
1ZIO_A,FLU+F+G,80.970
1POW_A,WAG+F,75.863
1LVH_A,Poisson+F+G,76.339
1QZ9_A,FLU+F+G,90.502
1HV9_A,JTT+F,59.715
1LXA_A,FLU+F,67.084
1QK2_A,FLU+F+G,54.205
1F7L_A,LG+F,93.527
1O8A_A,WAG+F,60.517
1OBA_A,JTT+F+G,79.283
1OBA_A,WAG+F,58.218
1BS4_A,JTT+F,57.078
1E2A_A,WAG+F,88.676
1FIQ_C,FLU+F,5.598
1F2D_A,Poisson+F+G,72.268
1XIK_A,Poisson+F+G,71.962
1MHT_A,FLU+F,105.981
1BQC_A,FLU+F,29.159
1CI8_A,JTT+F+G,120.111
1QUM_A,Poisson+F,53.512
1HQC_A,JTT+F+G,93.849
1ODT_C,LG+F+G,82.232
1BYA_A,FLU+F+G,123.356
1LTQ_A,FLU+F,52.691
1G99_A,LG+F,60.774
1NVT_A,LG+F,107.156
1PFK_A,FLU+F,56.329
1QHF_A,LG+F+G,58.199
1BF2_A,JTT+F+G,101.999
1LDM_A,LG+F,55.180
1G6T_A,JTT+F,57.296
1QTN_A,JTT+F,1.904
1SOX_A,LG+F,60.182
1XIK_A,LG+F,48.073
1AH7_A,Poisson+F,4.885
1MVN_A,FLU+F,83.851
1GA8_A,LG+F+G,89.525
1EG7_A,JTT+F,52.628
2BIF_A,WAG+F+G,113.046
1D6O_A,FLU+F,58.037
1M53_A,FLU+F,83.995
1FUA_A,LG+F+G,89.766
1CB8_A,Poisson+F,36.426
1FUA_A,FLU+F,90.452
1J09_A,FLU+F+G,88.740
2F9R_A,WAG+F,21.815
1NU3_A,WAG+F,58.730
2ABK_A,LG+F+G,48.768
1D6O_A,JTT+F+G,74.894
1LXA_A,WAG+F+G,61.890
1ZYM_A,LG+F+G,3.582
1RHC_A,WAG+F,65.033
1NSF_A,Poisson+F,4.404
1UN1_A,JTT+F,58.328
1D2R_A,FLU+F,61.436
1OAC_A,LG+F,77.953
1QI9_A,LG+F,35.855
1KZH_A,WAG+F+G,73.172
1CBX_A,JTT+F+G,9.915
1D0S_A,WAG+F+G,95.639
1FHL_A,WAG+F+G,83.320
1FUI_A,LG+F,48.377
1E6E_A,JTT+F+G,101.656
2TPS_A,FLU+F,115.039
1ITQ_A,FLU+F+G,101.051
1NBA_A,WAG+F+G,107.649
1BS4_A,Poisson+F+G,56.138
1FR2_B,JTT+F+G,23.235
1I1I_P,LG+F,77.216
1CB7_B,LG+F+G,60.740
1CWY_A,Poisson+F,83.031
1AK0_A,FLU+F,98.075
1NSJ_A,WAG+F+G,118.363
1FUI_A,JTT+F,48.389
1P4R_A,WAG+F,44.280
1ORO_A,JTT+F,60.419
1BFD_A,Poisson+F+G,87.869
1LTQ_A,LG+F+G,60.149
1MUG_A,WAG+F,62.556
1YON_A,Poisson+F,84.784
1R1J_A,FLU+F,70.965
1CB8_A,LG+F,43.297
1NF9_A,FLU+F+G,99.836
1DWO_A,LG+F+G,123.530
1HFE_L,JTT+F,28.827
1GPJ_A,WAG+F,95.889
1GUF_A,FLU+F,92.181
7ATJ_A,Poisson+F+G,67.347
1CTT_A,JTT+F,84.254
1JCH_A,FLU+F,44.929
1CTT_A,Poisson+F,76.229
1SOX_A,JTT+F,59.652
1UAS_A,FLU+F,65.414
2ABK_A,Poisson+F,42.110
1BJO_A,LG+F,60.109
1NBA_A,LG+F,93.451
1AGM_A,Poisson+F+G,84.178
2PGD_A,Poisson+F+G,52.007
1AZY_A,Poisson+F+G,70.885
2TDT_A,JTT+F,47.507
1B2M_A,WAG+F,15.408
3PCA_M,JTT+F,55.140
1BWD_A,LG+F,73.740
1F2V_A,FLU+F+G,80.944
1B3R_A,Poisson+F+G,54.239
1OYG_A,Poisson+F,14.976
1LDM_A,Poisson+F,51.151
1ALK_A,FLU+F+G,147.567
1KDG_A,JTT+F,37.932
1RVV_A,JTT+F+G,73.194
1FOA_A,LG+F,39.750
1S95_A,JTT+F+G,32.246
1QAM_A,WAG+F+G,47.834
1DE6_A,JTT+F+G,65.511
1DHP_A,Poisson+F,55.574
1I6P_A,Poisson+F,64.516
1RA0_A,JTT+F,56.713
1EH5_A,FLU+F+G,186.890
1HTI_A,JTT+F+G,67.042
1C82_A,Poisson+F+G,24.804
1BS4_A,JTT+F+G,60.926
1GIM_A,Poisson+F+G,52.909
1X7D_A,LG+F,68.209
1AJ0_A,FLU+F+G,92.689
1MLA_A,JTT+F,61.289
1HRK_A,FLU+F,67.521
1CEV_A,LG+F,72.045
1NBF_A,WAG+F,1.896
1R4Z_A,JTT+F,10.170
1FDY_A,LG+F,90.315
1DHF_A,WAG+F,92.331
1CB8_A,WAG+F,40.816
1P5D_X,LG+F,57.496
1UN1_A,LG+F,58.903
1WGI_A,JTT+F+G,74.903
1GP1_A,JTT+F,71.914
1DO6_A,WAG+F+G,71.880
1C0K_A,JTT+F+G,120.589
1P4N_A,JTT+F,38.037
1PUD_A,FLU+F,52.089
1M53_A,JTT+F+G,114.136
1CNS_A,JTT+F,48.546
1PZ3_A,FLU+F+G,83.780
1VID_A,JTT+F+G,56.922
1QCN_A,FLU+F+G,81.271
1EB6_A,Poisson+F+G,11.305
1A50_B,FLU+F,53.085
1ESC_A,WAG+F,60.936
1DUP_A,Poisson+F+G,56.654
1KAE_A,Poisson+F,60.556
1EG7_A,Poisson+F,49.820
1E3V_A,Poisson+F+G,66.321
1OR8_A,LG+F,56.886
1DDJ_A,JTT+F,46.570
1QHF_A,LG+F,46.317
1QV0_A,FLU+F+G,2.296
2EBN_A,JTT+F,26.142
1NIR_A,LG+F+G,44.935
1BVV_A,LG+F,24.069
2XIS_A,LG+F+G,80.415
1ZIO_A,LG+F+G,69.709
1CZ1_A,WAG+F,86.890
1A4L_A,Poisson+F,76.121
1INP_A,JTT+F+G,60.032
1LJL_A,Poisson+F,55.649
1QUM_A,LG+F,57.308
1VID_A,LG+F+G,59.395
1SLL_A,LG+F,20.248
1NSJ_A,Poisson+F+G,84.349
1CBG_A,WAG+F+G,111.755
1CG6_A,WAG+F,66.736
1BWD_A,WAG+F,71.157
1A6D_A,WAG+F+G,92.950
1ODT_C,Poisson+F,73.149
1KRA_C,LG+F+G,74.434
1GA8_A,FLU+F,97.217
1DJL_A,Poisson+F+G,1.380
1UAM_A,JTT+F,65.621
1MDR_A,FLU+F,95.016
1ALK_A,Poisson+F+G,94.014
1BH2_A,FLU+F+G,105.598
3PCA_M,WAG+F+G,61.450
2DW7_A,Poisson+F+G,64.508
1NDI_A,JTT+F,79.251
1B93_A,Poisson+F,63.798
2PDA_A,JTT+F+G,75.568
1P5D_X,Poisson+F+G,63.799
1G8F_A,LG+F,60.844
1AUO_A,WAG+F,80.363
1KRA_C,LG+F,36.634
1CEV_A,WAG+F+G,87.673
1AK0_A,JTT+F+G,103.307
1JHF_A,JTT+F,62.278
1INP_A,JTT+F,44.452
1DL5_A,JTT+F+G,54.017
3CLA_A,JTT+F,94.454
1EI5_A,JTT+F+G,48.255
1A50_B,Poisson+F,47.468
1L1L_A,WAG+F,31.210
1FR8_A,JTT+F+G,70.552
2CPO_A,JTT+F,22.038
1JS4_A,LG+F+G,142.253
1AMY_A,Poisson+F+G,57.239
1I8D_A,WAG+F+G,115.504
1PP4_A,WAG+F+G,56.297
1GPA_A,Poisson+F,59.100
1D8T_A,LG+F+G,53.921
1A2T_A,JTT+F,9.266
1F8M_A,JTT+F,41.592
1B65_A,FLU+F,97.353
1UAQ_A,WAG+F,61.431
1QAM_A,LG+F+G,55.344
1Q91_A,Poisson+F,39.315
1HQC_A,Poisson+F,52.114
1QH5_A,FLU+F,81.895
3CLA_A,LG+F+G,116.635
1RPX_A,Poisson+F,57.104
1GIM_A,Poisson+F,48.800
1DBF_A,LG+F,85.237
1DUP_A,FLU+F+G,75.732
1OH9_A,WAG+F+G,90.852
1AGY_A,JTT+F,75.725
1K30_A,Poisson+F,21.211
1G64_A,Poisson+F,50.336
1DOD_A,FLU+F,56.323
1EXN_A,Poisson+F+G,2.211
1ONR_A,LG+F+G,64.612
1CW0_A,FLU+F,127.619
1DWO_A,WAG+F,70.153
1X7D_A,JTT+F,68.078
1M54_A,FLU+F+G,40.936
1DII_A,JTT+F,89.257
1CHM_A,WAG+F+G,56.779
1JHF_A,Poisson+F,57.894
1B5T_A,Poisson+F+G,73.309
1CWY_A,FLU+F+G,117.331
1RBN_A,Poisson+F,40.045
1PII_A,Poisson+F+G,88.866
1L6P_A,JTT+F,3.946
1DAA_A,LG+F,96.617
2DOR_A,LG+F+G,122.096
1JOF_A,JTT+F,19.364
1LAM_A,FLU+F,96.139
1CF2_O,JTT+F,66.910
1ASY_B,Poisson+F+G,69.610
1FGH_A,WAG+F+G,51.853
1J2U_A,LG+F,110.648
1BZY_A,FLU+F+G,201.190
1DII_A,WAG+F+G,89.536
1NN4_A,WAG+F+G,91.220
1F2D_A,LG+F,57.747
1OK4_A,WAG+F+G,77.197
1KDG_A,WAG+F+G,55.165
1CTT_A,FLU+F+G,127.578
1HY3_A,LG+F+G,68.171
1PNL_B,JTT+F,6.963
1AUO_A,Poisson+F+G,77.056
1QI9_A,FLU+F,39.457
1P4R_A,Poisson+F,42.717
1SMN_A,Poisson+F,58.952
1EXP_A,FLU+F+G,71.223
1DUB_A,JTT+F,60.384
1B2R_A,WAG+F,29.713
1R4Z_A,LG+F,10.345
1AH7_A,WAG+F+G,6.943
1NDH_A,FLU+F,62.240
1KAE_A,LG+F,65.333
1DE6_A,LG+F,55.605
1J00_A,JTT+F,77.924
1ROZ_A,FLU+F+G,122.285
1BBS_A,FLU+F,63.546
2DW7_A,LG+F,54.820
1CBX_A,LG+F,8.015
1W0H_A,FLU+F,45.453
1KFU_L,Poisson+F+G,82.380
1LVH_A,JTT+F+G,98.603
1DAE_A,FLU+F,80.183
1L8T_A,LG+F+G,60.465
1BS0_A,JTT+F+G,91.222
1LDM_A,FLU+F+G,89.828
1F8X_A,FLU+F+G,38.460
1CD5_A,FLU+F+G,77.931
1AX4_A,WAG+F,63.044
1AUG_A,JTT+F+G,83.802
1HY3_A,Poisson+F,44.870
1PS9_A,WAG+F+G,61.144
1LAM_A,Poisson+F+G,99.098
1AFR_A,LG+F,53.248
1O98_A,Poisson+F+G,57.099
1EXP_A,JTT+F,41.094
1BS4_A,LG+F+G,61.495
1RK2_A,FLU+F,93.316
1A8H_A,JTT+F,38.843
1I8D_A,Poisson+F,70.603
1EMD_A,JTT+F+G,65.404
1FO6_A,JTT+F,69.092
1HFS_A,JTT+F,1.025
1B3R_A,Poisson+F,37.977
1FQ0_A,WAG+F,65.999
1BWD_A,Poisson+F,66.696
1I1I_P,JTT+F,76.879
1MUD_A,JTT+F,2.279
1CTN_A,LG+F+G,67.300
1CI8_A,Poisson+F,83.984
1QFE_A,LG+F,111.624
1DO6_A,Poisson+F+G,67.551
1EXP_A,Poisson+F+G,45.560
1O98_A,LG+F+G,64.981
1S20_A,LG+F,65.227
1GAL_A,FLU+F+G,147.602
1TYF_A,LG+F,46.342
1H54_A,FLU+F,81.594
1PS9_A,LG+F,50.918
1FOA_A,FLU+F+G,77.945
1WGI_A,WAG+F,55.735
1VR7_A,FLU+F,95.253
1DO8_A,JTT+F+G,120.132
1CHD_A,FLU+F+G,11.287
1VQ1_A,Poisson+F,123.662
1LTQ_A,LG+F,44.819
1UW8_A,FLU+F+G,93.389
1MDR_A,LG+F+G,94.820
1JKM_A,WAG+F+G,144.745
1RO7_A,FLU+F+G,23.197
1DOD_A,LG+F+G,64.162
2BBK_L,Poisson+F+G,2.263
1YVE_I,WAG+F,27.777
1PYM_A,LG+F,76.843
1AMY_A,WAG+F,48.050
1SLL_A,FLU+F+G,38.094
1DFO_A,LG+F,43.083
1REQ_A,Poisson+F,40.397
1CEV_A,LG+F+G,96.556
1LVH_A,JTT+F,89.660
1DNP_A,LG+F,73.830
1STD_A,FLU+F+G,80.411
1FR2_B,FLU+F,24.993
1AVQ_A,JTT+F,33.999
1HPM_A,LG+F,1.940
1QFM_A,JTT+F,72.235
1SML_A,JTT+F+G,117.081
1L8T_A,WAG+F+G,55.149
1BFD_A,WAG+F+G,91.294
2F61_A,WAG+F,84.417
1GPJ_A,WAG+F+G,144.310
1EB6_A,WAG+F+G,13.071
1X9H_A,WAG+F+G,41.803
13PK_A,WAG+F,53.773
1J79_A,FLU+F+G,83.337
1E2T_A,JTT+F,95.179
1A26_A,LG+F+G,15.593
1GCB_A,FLU+F+G,142.550
2PGD_A,LG+F,45.076
1CL1_A,FLU+F+G,87.722
1JS4_A,FLU+F,86.496
13PK_A,Poisson+F,51.627
1PZ3_A,WAG+F,60.447
1FHL_A,Poisson+F,77.207
1C4Z_A,LG+F+G,18.693
1R6W_A,WAG+F,72.171
1RBL_A,WAG+F+G,30.255
1QV0_A,FLU+F,1.736
1J09_A,LG+F+G,81.119
1ELS_A,LG+F,47.374
1CVR_A,LG+F+G,3.669
1KC7_A,LG+F+G,71.451
2PFL_A,FLU+F+G,76.269
1BWZ_A,LG+F,60.892
1D4C_A,Poisson+F,81.289
1EXN_A,FLU+F,2.507
1HR6_B,WAG+F+G,106.929
1XVT_A,FLU+F+G,74.821
1SES_B,LG+F,73.367
1L1D_A,LG+F,57.659
1CW0_A,FLU+F+G,159.734
3CSM_A,JTT+F+G,105.323
1I8T_A,LG+F,57.226
1IM5_A,JTT+F,90.901
1G72_A,LG+F+G,93.794
4MDH_A,LG+F+G,73.125
1GIM_A,FLU+F,55.334
1CZF_A,FLU+F+G,106.338
1DBF_A,JTT+F,85.127
1GP1_A,Poisson+F+G,74.425
1UAE_A,Poisson+F,48.383
1OPM_A,LG+F,45.008
1URO_A,Poisson+F,52.586
1QAM_A,JTT+F,46.770
1RQL_A,JTT+F,82.746
1PJ5_A,FLU+F,69.479
1EMD_A,FLU+F,54.546
1AQ2_A,JTT+F+G,64.436
1PJ5_A,Poisson+F+G,72.571
1IDT_A,WAG+F+G,64.147
1QF6_A,WAG+F,47.955
1G72_A,WAG+F+G,94.870
1C82_A,Poisson+F,18.578
1VID_A,FLU+F,62.954
1MDR_A,FLU+F+G,111.223
1LCB_A,JTT+F,56.893
1B5D_A,Poisson+F,4.518
1APX_A,JTT+F+G,66.817
1FIQ_C,LG+F,5.063
1BG0_A,Poisson+F+G,84.458
1QJE_A,LG+F+G,52.481
1CGK_A,Poisson+F,51.487
1BJO_A,Poisson+F,56.750
1WGI_A,Poisson+F+G,74.514
1A16_A,JTT+F+G,68.944
1O98_A,JTT+F+G,71.115
1EYP_A,JTT+F+G,67.450
1EEJ_A,WAG+F+G,74.616
1DJ0_A,WAG+F,66.475
1F8R_A,JTT+F,70.309
1A26_A,JTT+F,10.582
1E7Q_A,LG+F,58.669
1CA2_A,Poisson+F+G,96.601
1J79_A,JTT+F+G,69.683
1EUU_A,WAG+F,76.310
1SML_A,FLU+F+G,136.644
1DD8_A,WAG+F+G,53.790
1BG0_A,LG+F+G,107.777
1DIN_A,WAG+F+G,75.661
1GTP_A,FLU+F,64.759
1STD_A,JTT+F+G,67.760
1GT7_A,FLU+F,75.789
1JMS_A,FLU+F,19.796
1L9X_A,JTT+F,102.768
2PFL_A,JTT+F+G,66.287
1I1E_A,FLU+F,11.021
1MFP_A,LG+F+G,90.070
1RO7_A,WAG+F,11.883
1HR6_B,WAG+F,59.190
1REQ_A,FLU+F,44.276
1EH5_A,WAG+F,87.209
1B93_A,WAG+F+G,85.298
1DNP_A,WAG+F,71.827
1QH9_A,Poisson+F+G,105.356
2HDH_A,LG+F+G,106.364
1GCB_A,JTT+F+G,130.748
1CL1_A,JTT+F+G,77.434
1ORO_A,Poisson+F,56.789
1KYW_A,WAG+F+G,79.264
2NMT_A,JTT+F,69.575
7ATJ_A,WAG+F,63.911
1COY_A,WAG+F,68.086
1URO_A,FLU+F,60.340
1U5U_A,WAG+F+G,5.348
1B93_A,LG+F+G,98.731
1L1R_A,Poisson+F,70.333
1EXN_A,LG+F,2.180
1ELS_A,JTT+F,47.311
1CBX_A,FLU+F,8.597
1AQ2_A,FLU+F+G,79.023
2ENG_A,WAG+F,40.161
1AQ0_A,WAG+F,68.361
1NBA_A,FLU+F,104.312
1QZ9_A,LG+F,67.216
1COY_A,LG+F,70.444
1OGO_X,JTT+F,13.708
1BS0_A,Poisson+F+G,85.775
1EC9_A,JTT+F,46.417
1RVV_A,JTT+F,47.703
1CW0_A,JTT+F+G,125.318
3CSM_A,FLU+F+G,123.078
1E2T_A,LG+F,95.655
1YON_A,WAG+F+G,88.957
1CZF_A,JTT+F+G,104.884
1XVT_A,JTT+F+G,65.649
1UQR_A,FLU+F,65.941
1FR8_A,Poisson+F,25.987
1H3I_A,LG+F+G,29.945
1QGX_A,WAG+F+G,87.826
1IDJ_A,Poisson+F+G,67.044
1CG6_A,WAG+F+G,73.762
2ACY_A,FLU+F,95.032
1A16_A,FLU+F+G,80.340
1DAA_A,JTT+F,96.068
1O98_A,FLU+F+G,66.583
1EYP_A,FLU+F+G,80.460
1G72_A,LG+F,58.865
1UW8_A,JTT+F,65.885
1OGO_X,WAG+F+G,18.998
1OJ4_A,WAG+F+G,74.131
1MDR_A,JTT+F+G,92.042
1LBU_A,FLU+F,74.562
1R1J_A,WAG+F+G,88.494
1SZD_A,Poisson+F,35.047
1APX_A,FLU+F+G,63.464
1PTD_A,Poisson+F,34.399
1CHD_A,Poisson+F+G,5.773
1R16_A,JTT+F,38.925
1EXP_A,JTT+F+G,55.695
1AF7_A,LG+F,86.099
1A95_C,LG+F,58.761
1CTT_A,JTT+F+G,108.996
1E2T_A,WAG+F+G,75.734
1BS9_A,FLU+F,53.978
2DW7_A,JTT+F,54.506
1QRR_A,WAG+F,60.543
1VNC_A,Poisson+F+G,26.355
206L_A,LG+F+G,67.703
1AKO_A,LG+F+G,84.433
1Q91_A,LG+F+G,89.729
1BZY_A,JTT+F+G,158.380
1UAE_A,LG+F,51.238
1H54_A,Poisson+F+G,91.767
1EMD_A,FLU+F+G,73.476
1RBN_A,Poisson+F+G,34.470
1X7D_A,Poisson+F+G,80.568
